timestamp,model,modalidad,algorithm,elapsed_s,peak_ram_MB
2026-07-05T00:58:01.107628,qwen_vl,texto,CSCLP,472.2298,202.02
2026-07-05T00:58:01.115444,qwen_vl,texto,Kmedoids,455.4148,202.22
2026-07-05T00:58:01.119905,qwen_vl,texto,ACO,1726.6738,211.84
2026-07-05T00:58:01.125399,qwen_vl,texto,PSO,479.2073,202.17
2026-07-05T00:58:01.129275,qwen_vl,texto,HCAKC,613.1488,202.64
2026-07-05T00:58:01.129275,qwen_vl,texto,KM-MILP,398.6606,202.41
2026-07-05T00:58:01.139244,qwen_vl,texto,SCK1,229.0459,202.68
2026-07-05T01:25:37.539172,qwen_vl,texto,BAT,1218.122,212.06
2026-07-05T01:25:37.627081,qwen_vl,texto,CSCLP,254.3646,202.32
2026-07-05T01:25:37.633087,qwen_vl,texto,Kmedoids,252.0327,202.23
2026-07-05T01:25:37.638084,qwen_vl,texto,ACO,1644.7368,212.1
2026-07-05T01:25:37.642086,qwen_vl,texto,PSO,413.5076,202.61
2026-07-05T01:25:37.647081,qwen_vl,texto,HCAKC,983.6911,202.24
2026-07-05T01:25:37.651087,qwen_vl,texto,KM-MILP,295.1324,202.09
2026-07-05T01:25:37.655085,qwen_vl,texto,SCK1,196.848,202.1
2026-07-05T01:27:25.891242,internvl,texto,BAT,64.412,163.73
2026-07-05T01:27:25.910189,internvl,texto,CSCLP,3.8317,156.17
2026-07-05T01:27:25.914226,internvl,texto,Kmedoids,3.3083,150.51
2026-07-05T01:27:25.920294,internvl,texto,ACO,98.0636,166.05
2026-07-05T01:27:25.924078,internvl,texto,PSO,8.0391,152.39
2026-07-05T01:27:25.929676,internvl,texto,HCAKC,18.2791,165.58
2026-07-05T01:27:25.933745,internvl,texto,KM-MILP,10.1309,160.77
